CREATED DATE,ItemSearchName,ProductType,Reviews,Rating
5/7/2018,8975-6,Dual Temperature Heat Gun,I am using this particular model to soften old paint for cleanup. I will also be using it for heat shrink applications for connectors needing shrink tubing for an additional insulation,5
5/7/2018,8975-6,Dual Temperature Heat Gun,I am using this heat gun to soften old paint for cleanup. I will also be using it to heat shrink wrap tubing to insulate electrical connectors,5
5/7/2018,6232-20,Deep Cut Variable Speed Band Saw,"the rubber bands that carry the blade come off if leave it in the sun for an hour or so, everything else is great.",4
5/7/2018,49-40-6110,Cutting Dust Shroud,Just got my grinder back from repairs I work in the stone industry doing granite and stone counters as a contractor I need to be osha compliant on the job site I supply my own tools just because and when my grinder finally cane in today the shroud does not fit?!??!!. All my other tools are obviously not as important as this one as I use this to make adjustments on site.,1
5/7/2018,2736-21HD,"M18 FUEL™ 8-1/4"" Table Saw w/ One-Key™ Kit","Awesome been waiting for a long time  
I'm glade I waited before buying other table saw",5
5/7/2018,2724-20,M18 FUEL™ Blower (Tool Only),"I purchased this blower to replace my old corded unit.  I was thrilled when I saw it on the Milwaukee site, I've got a bunch of M18 tools, so I only need to purchase the tool.  This blower has plenty of power, and as long as you keep extra batteries around, it will handle any household job.  The unit is lite enough to be comfortable to carry, I prefer to use the smaller batteries as the larger ones add extra weight, I don't mind changing the batteries a bit more.",5
5/7/2018,2724-20,M18 FUEL™ Blower (Tool Only),,5
5/7/2018,2111-21,USB Rechargeable Hard Hat Headlamp,"I am a shift fitter so especially  useful on night shift, and well set up for using on safety helmet with the plastic clips. Omly downside is I would like a separate charger so I can have a battery ready to chnge when it goes flat.",5
5/8/2018,48-22-9415,15pc Combination Wrench Set - SAE,I own many sets of wrenches from big tool truck names and other big box stores these are the ones point blank get them both you wont have no regrets,5
5/8/2018,2787-22,"M18 FUEL™ 1-1/2"" Magnetic Drill Kit",The twist Weldon chuck is awesome and ambidextrous press handle are just the icing in the cake for this great tool. Put it to work all winter in the rough Montana elements,5
5/8/2018,2731-20,M18 FUEL™ 7-1/4” Circular Saw (Tool Only),,1
5/8/2018,2494-22,M12™ Cordless LITHIUM-ION 2-Tool Combo Kit,"I have used this combination kit, it's great! Small package with good power for it's size. I have given 2 sets away as gifts to my relatives.",5
5/8/2018,2353-20,M12™ Spot Light,I love this little spot light!! So small and compact i can keep it in my vehicle all the times for a spotting emergence =) with the 6.0ah battery in you can use it for a very long time. Tough little booger too! Dropped the thing quite a few times and still works. Good for the job site or recreational use!,5
5/9/2018,48-22-8426,PACKOUT™ Rolling Tool Box,"Handles all my tools very strong, handle is great     a second tool tray would be a nice option",5
5/9/2018,2810-20,M18 FUEL™ Mud Mixer with 180° Handle (Tool Only),"I have been a professional tile setter and general contractor for over thirty year now and have to say that this mud mixer from Milwaukee is an innovation that actually makes working out in the field easier. The motor is plenty powerful for handling anything I have already thrown at it and believe me, I was not kind to it. I don't abuse my tools but they have to work, and I have to know that they will work consistently. This mixer does it in spades. All the guts and quality of a Milwaukee tool without the flare the pretty boys want. Dirty, gritty, and it works....exactly what I want from my Milwaukee collection.",5
5/9/2018,2755B-20,"M18 FUEL™ 1/2"" Compact Impact Wrench w/ Friction Ring (Bare Tool)",i have been a mechanic for over 30 years and have owned many cordless impacts. the milwakee is the most powerful one by far. i bought the 3/8 one first when my makita wore out. i liked it so much i also purchased the 1/2 and i use it more than my air powered ingersol rand impact. milwakee has made some of the best electric tools for as long as i can remember i have lots of them and they all still work like new and they are all over 20 years old. now the battery powered tools are the same quality. thanks milwakee tool.,5
5/9/2018,2743-21CT,M18 FUEL™ 15ga Finish Nailer Kit,"I am a DIYer and have some work to do in a large church facility that this nailer will be a big part of.  I have only used it on a couple of smaller jobs but so far this beauty is really nice and consistent. I've had zero jams, zero overheat shutdowns and after some use in familiarizing myself with it haven't had any nails not fully sink.  At first I had a couple proud of the surface but that was due to my not controlling the kickback, these things are powerful!  It could probably be improved for getting into corners but I'm not sure how much, it is just a flaw for all of these types of nailers, it certainly does as well as most of the competition.  I am completely satisfied with the form and function of the unit and look forward to the day Milwaukee produces an M18 framing nailer because I will be running to the store to get my very own!",5
5/9/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),"I DID NOT BELIEVE IN THE BATTERY TRIMMERS AND TOOLS BUT AFTER USING THIS MILWAUKEE TRIMMER IS VERY POWERFUL AND DOES A GREAT JOB .!!
I HAVE THE 9.0 BATTERY AND ALSO THE 5.0 THE TRIMMER DOES NOT EAT UP BATTERY LIFE I WOULD RECCOMEND THIS PRODUCT .
BLOWER ALSO WORKS GREAT THAT YOU NEED THE 9.0 BATTERY",5
5/9/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),"Have a couple of Milwaukee drills and spare batteries which have always worked great.  Needed an edger for brush clearance and this fit the bill.  Battery last for about an hour with continuous use.  Takes about an hour and a half to fully recharge.  Used it for 7 days straight clearing the brush on our hill.  Ate through tall grass and mustard weed with ease.  Only problem I had was we have very loose dirt and had to find a big rock or walk out to the deck or street to advance out some line.  NO FAULT OF THE TOOL.!!  Just an inconvenience of where I live.  Assembly of the tool was easy and balanced real nice.  Swings easy and after seven days straight, didn't feel like my arms would fall off.  Starts up quick and spools down quickly too.  Holding the buttons for an hour at a time is easy too as it fits well in the hand.  Overall, I'd highly recommend it to anyone.",5
5/10/2018,48-32-5032,"SHOCKWAVE™ 1/4"" Hex to 1/2"" Square Socket Adapter",I have broken 3 of these adapters in the last week they are a horrible design flaw I do not raddle nuts with them I use them and a socket to spin open and close clamps and the sheer off as a lineman in gloves and sleeves in the Florida sun its quite a set back having to retrieve my socket that just fell 40ft I love Milwaukee products but this is horrible,1
5/10/2018,48-22-8210,Jobsite Tech Bag,"It has more than enough storage to fit all of your tools, testing equipment, m12, or m18 tools. It has really good weight distribution so it doesn't feel very heavy even when you load it with a lot of stuff. The rain guard is also really handy for people working outside.",5
5/10/2018,2864-20,"M18 FUEL™ w/ ONE-KEY™ High Torque Impact Wrench 3/4"" Friction Ring Bare Tool","This tool is amazing, I've been using Milwaukee Tools for about four years now. I've got everything from the stylist to the new One-Key 3/4"" high torque impact. I love my old 3/4 inch impact and when I heard of the this new one I jumped on it. The customization is insane, even though I'm the only one who would use my tools if you are a contractor I think you would love it more. Being able to customize four different profiles on the tool from torque range to speed and even how long the work light stays on this thing is a beast. Add the fact that you can track your tool with gps and even turn your tool off from your phone. Do your self a favor and start seeing Red!",5
5/10/2018,2736-21HD,"M18 FUEL™ 8-1/4"" Table Saw w/ One-Key™ Kit",,1
5/10/2018,2727-21HD,"M18 FUEL™ 16"" Chainsaw Kit","The innovation Milwaukee posses is apparent once again, what a surprise! I was astonished to not feel hear and smell of a screaming gas powered chainsaw as I chewed through the trunk of a cedar. They weren't joking when they put their name up to the comparison. Truly just a reminder that the innovation they will continue to crank out year after year.",5
5/10/2018,2680-20,"M18™ Cordless 4-1/2"" Cut-off / Grinder (Tool Only)","I love Milwaukee tools. I own a lot of corded and cordless versions. Some are 20+ yrs old and work perfectly. This was my first disappointment. Realistically, this tool shouldn't even be produced with The Milwaukee name on it. Buy the 4.5""  Fuel grinder for the extra money. This guy can't run a 4.5""  disc that has any weight to it without burning through the battery (the big extended version) in under 7 min.",2
5/11/2018,49-56-7250,"Large Thread Quick Change Arbor, 3/8""","I have had excellent results with the smaller hole saws on the fixed arbor. Recently I bought a 1 3/8 hole saw and had to buy the larger slide arbor. This was a disaster. The hole saw screwed down within a half turn of bottoming out, and the drive pins engaged properly. But the hole saw is still wobbly on the arbor. I cut a hole in 16 gauge steel and got a very messy cut, larger than the 1 3/8 with ragged edges. The saw was obviously loose on the shaft and described a wide ragged cut rather than the clean cuts I am used to with the fixed smaller arbor that screws down tight. This looks like a poor design to me. I recall an older model with a hex nut that tightened up behind the drive pins. Do I have a defective arbor or am I doing something wrong ?? I would certainly not buy this again.",2
5/11/2018,2763-20,"M18 FUEL™ 1/2"" High Torque Impact Wrench with Friction Ring (Bare Tool)","I am a mechanic tech in the oil and gas industry, our shop is ruled by these impact guns because of how well they work. I have had my gun for almost 8 months now and it works as good as it did new. I checked the torque vs a freshly recalibrated 3/4 drive torque wrench and maxed the torque wrench out at 600 ftlbs.",5
5/11/2018,2704-20,"M18 FUEL™ 1/2"" Hammer Drill/Driver (Tool Only)",Milwaukee 2897-22cx.Excellent tool at a great price .This drill combo is the best drill combo that I have ever owned! The battery lasts a long time!,5
5/12/2018,2717-20,"M18 FUEL™ 1-9/16"" SDS Max Hammer Drill (Tool Only)","I have used this drill to put in 6 concrete anchors with a 2"" depth. An extremely frustrating experience. The drill would not hammer off the start and once it does start hammering the trigger needs to be feathered. A task that should take 5 min took 30. I have used cordless Hilti and Bosch and both perform way better than this. 
It only received one star because I am required too.",1
5/12/2018,2475-21XC,M12™ Compact Inflator kit,"I purchased this product specifically with the hopes that I could use it to air up my tires after off roading, but alas Milwaukee has finally let me down. It failed to inflate a 33x12.5R15 tire. Using the bigger then supplied 4 amp hour battery and set to 35psi it took 2 minutes 52 seconds to inflat from 0 psi to 15 psi, then with out stopping the unit it only made it 32.5 psi be for the battery died and it shuts off @ 10 minutes and 43 seconds. Even if it had managed to reach 35 psi that would be over 40 minutes to fill 4 LT tires, not the 16 minutes as advertised. It will work ok in a pinch but I'm gonna need a a lot more batteries.",2
5/14/2018,49-56-0320,Adjustable Hole Cutter,"worked great on the small 2"" led can lights but when cutting 5/8 drywall fully extended I bent the adjusting arms now its useless. I have many Milwaukee tools and never had one fail.",2
5/31/2018,2853-20,"M18 FUEL™ 1/4"" Hex Impact Driver (Tool Only)",This impact is by far the best I ever used. Truly impressive !,5
5/31/2018,2110-21,USB Rechargeable 700L Flashlight,"I use this to inspect vehicles and components, while the beam pattern is nice it seams a bit muted and not because of the ""frosted"" plastic lens which is a plus to have while inspecting reflective components, however the power output doesn't seem to be what is advertised. The biggest downfall of this flashlight is the battery, I have only used and charged it a handful of times in the past 6 months because of the lack of battery life and failure for the battery to retain a charge for more than 2 days when I first got it, and now barely at all. The adjustable focus does not function that well either, suction effect pulls it back or pushes the lens forwards on its own. I may have received one with a defective battery like every other reviewer as well as a co-worker of mine. Wish I returned it to Home Depot 2 weeks after I got it and got my $$$ back  Overpriced, Non-Reliable, Much better options on the market. For the record this item has been very lightly used, never dropped and very well taken care of since day 1 (as in charged to full before first use). Bottom line myself and a few other friends would NOT recommend this flashlight to anyone until Milwaukee can work the ""bugs out of it.",2
5/31/2018,2734-20,M18 FUEL™ Dual Bevel Sliding Compound Miter Saw,I use this saw every day at work doing wood siding and trim and balconies on commercial properties. With the 9.0 battery the saw will cut all day with plenty of power. It’s light weight and and easily loaded by one guy. Not having to roll out power saves time and can move on-site with no problems.,5
6/1/2018,2645-20,M18™ Jig Saw (Tool Only),"I bought this tool recently, it has lots of power and it works very well except that the plastic cover around the blade obstructs the users visibility too much so I just removed it. Also the plastic blade guide is held in place by two tiny little tabs which broke off and it no longer stays in place. Tool still works fine but this defect needs to be addressed before I would recommend purchasing it.",3
6/1/2018,2863-20,"M18 FUEL™ w/ ONE-KEY™ High Torque Impact Wrench 1/2"" Friction Ring (Tool Only)",I SOLD MY 2767-20 TO BUY THIS BECAUSE IM A MECHANIC AND WANTED TO PROGRAM LUGNUT TORQUE WITH THE ONE KEY APP. TURNS OUT YOU CAN ONLY CONTROLL SPEED AND NOT TORQUE. KINDA POINTLESS IN MY OPINION FOR AN IMPACT GUN..DONT SPEND THE EXTRA CASH UNLESS THEY FIX THE SETTINGS,3
6/2/2018,2475-21XC,M12™ Compact Inflator kit,"Came with a Charger and a Free Battery
Tried it on Car and small Tires works great.
And I already have spare Batteries already charged.",5
6/2/2018,2704-20,"M18 FUEL™ 1/2"" Hammer Drill/Driver (Tool Only)",the chuck get stuck and i have to use pliers to remove drill,1
6/2/2018,2701-20,"M18™ 1/2"" Compact Brushless Drill/Driver (Tool Only)","General construction.
I use to use exclusively Milwalkie, I even convinced my job site to switch from DeWalt because my Milwalke tools were awesome. It's been less than a year and 2 of the 4 drill chucks are already toasted. They won't release well and then will release the bit at random every 3 or four holes. The circular saw is a joke, underpowered and eats batteries like a hungry fat lady at McDonald's! The Jig Saw plate will un-snug its self in the middle of a cut and go from 90 degrees to whatever it chooses. I am thoroughly embarrassed that I convinced my boss to switch to your brand.  Our DeWalt line is ancient and EVERY SINGLE ONE of those tools are old, beat up but STILL WORK! My older set of Milwalkie drills I personally own had no issues but the new ones are G A R B A G E! I will NEVER buy Milwalkie again. You can rest assured your recent quality shortcomings are not going unnoticed or untold. Going back to Dewalt.",1
6/2/2018,2740-21CT,M18 FUEL™ 18ga Brad Nailer Kit,Great tool but with only a one year warranty. Others come with more.,3
6/4/2018,48-22-8110,Electricians Work Belt,"I was excited to get my Milwaukee Electricians bags. I am a Milwaukee guy and I love pretty much every product I buy. I use these bags daily and tool up to the fullest. These bags are great and well thought out in their design with one flaw... If the pouches are full they will weigh down and the bottom inside edge of the pouches will rub on my legs all day long. It will get to the point where it hurts since the material is so tough, and makes something as simple as walking with the bags on somewhat painful. To remedy this I duct taped some padding on the bottom edges. This is really the only issue I have with this product or else it would get a 5 star rating.",3
6/4/2018,2724-20,M18 FUEL™ Blower (Tool Only),"I keep this tool in my RV, and use it daily to remove leafs, and rocks from my walking area, so it doesn't track into my rv.",5
6/4/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),"Used around 2.5 acre property, without disappointment.",5
6/4/2018,48-59-1806,M18™ Six Pack Sequential Charger,This is perfect for people constantly using there tools or the DIY people who want to have everything charged up ready to go! Sometimes you have 2 or more tools going at a time so being able to have multiple batteries on one charger makes for an easy day!!,5
6/4/2018,2863-20,"M18 FUEL™ w/ ONE-KEY™ High Torque Impact Wrench 1/2"" Friction Ring (Tool Only)","Bought this  last month, and I'm amazed on the design size its way shorter than I thought and sheer power, I have it on mode 3 and it hasn't failed to take off wheel nuts yet, Tractors,Trucks and even tracks on a d11 CAT Dozer, It shines well, It has way more power than my snap on 1/2 impact wrench at half the cost!! plus it has 5 years. warranty.",5
6/5/2018,48-22-8030,Jobsite Organizer,"I bought these organizers to redo my old style plastic/metal wall bins.  I can fit all the different screws, nails, and hardware that I use in my shop on a daily basis with room for more.  The metal clasps felt way better than the other organizers that I was shopping and the latches that hold multiple units together work great! Looking to add more!",5
6/5/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),I bought this product because of the name and it is battery operated.  At my age it was getting very difficult to start the gas trimmer so I thought I would give this a try and I am happy with the performance of the trimmer. My only drawback is a brush blade to make it faster to cut the brush.  It does the job in the brush but it takes a little longer and I am not getting any younger....heheheh,5
6/5/2018,2740-20,M18 FUEL™ 18ga Brad Nailer (Tool Only),"This tool has many good qualities, but there are some key points that if fixed by Milwaukee, could make this a top of the line tool. I am a custom millwork and finish carpentry/cabinetry installer, full time. The tool fires fast and has setting for quick fire. No wind up is very nice. Little heavy but for cordless it’s a great trade up still, it has an ok feel.    
    The issues I have with it are: 
- the nailer pin, is wide and leaves a big dent in finished product.
-the nose of the gun is bulky and not slim, making angles hard to get nicely. 
- it also doesn’t set nails very well at all ( without damaging material). If you aren’t 90 degrees it likely won’t set. 

These issues made me have to return it and switch back to paslode, if Milwaukee adjusted these issues, which shouldn’t be hard for a high quality company, I would happily try their next version. Until then I would let this one stay on the shelf. They got a lot of things right with it. Which is great for a first try at a finish carpentry tool. I believe they need to address these issues in order to make it a top of the line tool.",2
6/5/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),"I bought this trimmer, because I was sick and tired of dealing with gas powered string trimmers, and I have bought 7 or 8 different ones that only last a couple of years or so, before they start having problems.  This trimmer works flawlessly for small grass and weed trimming, but for large, tall weeds, it is just not as powerful as I would like, even with using the 9.0 batteries, and they only last about 20 minutes, and it even works well with the 5.0 batteries I have.  So, I still need a gas powered trimmer for the big stuff.",4
6/5/2018,5616-24,2-1/4 Max HP EVS Multi-Base Router Kit,"I received this product as a gift about a year ago and all I can say is that it is one of the best tools I own.  It is easy to handle and has ample power for any task.  If you want a good reliable router, this is the one for you.",5
6/6/2018,0880-20,M18™ Wet/Dry Vacuum (Bare Tool),"At TPA1 in Ruskin, Fl. we use these wet/dry vacuum's on a daily basis...the M18 4.0 battery last long and is powerful enough for industrial level of cleaning...the Batteries are quick charge and have hundreds if not thousands of charge cycle's...they are somewhat expensive but well worth the cost...in fact I purchased one for my own HVAC company...",5
6/6/2018,2656-20,"M18™ 1/4"" Hex Impact Driver (Tool Only)",I used this to install A/C in M/B Sprinter vans. It lasted just nine weeks approximately and is now dead no light and no motor. It was part of a combo kit.,1
6/6/2018,2706-22,"M18 FUEL™ with ONE-KEY™ 1/2"" Hammer Drill/Driver Kit","I am a custom technology Integrator, Come across dynamic custom projects. Pre-wire through finish. Great All around smart drill.  
Came from a Makita LXT Beast, 5 years of loyal service. This Drill/Driver from Makita is definitely a super upgrade.",5
6/6/2018,2317-21,M12™ M-SPECTOR FLEX™ 3' FT Inspection Camera Cable w/ PIVOTVIEW™  Kit,Love the flex head but I don't think it turns 270 degrees. More like 200 degrees,5
6/7/2018,48-22-8430,PACKOUT™ Organizer,Im a Milwaukee Guy but this packout organizer is lacking the ability to stay closed tight. The hinges loosened up after 3 weeks of usage. This caused water to leak into the box. The regular organizer performed better than the packout.,1
6/7/2018,6509-31,Sawzall® Recip Saw Kit,"I've owned this thing for about 8 or 9 years.  Never a hiccup.  Plenty of power for everything I've cut, from lath and plaster to hefty tree branches and roots, and a few chunks of metal here and there for good measure.  (I just want a 1-800-Sawdust tee shirt!)",5
6/7/2018,2110-21,USB Rechargeable 700L Flashlight,I am a plumber and work in ceilings all the time. I love how versatile this light is! I would definitely recommend to someone else. Definitely worth the money. Good job Milwaukee,5
6/8/2018,2891-20,M18™/M12™ Wireless Jobsite Speaker,"I own tons of Milwaukee power and hand tools and have extra m12 and m18 battery’s so the fact that this can run of either is amazing, I’ve been using the m18 xc5.0 battery and it’s been lasting a long time",5
6/8/2018,2760-20,"M18 FUEL™ SURGE™ 1/4"" Hex Hydraulic Driver (Tool Only)",Great product already had the brushless non hydraulic  but this new hydraulic  driven one is quieter vibrates way less even when putting structural screws and puts them in faster and uses less battery  highly recommend it,5
6/8/2018,49-22-8510,Right Angle Attachment,Electric contractor. This one is it. Drilled 3/4” auger holes in 6x6’s many times. Great tool. Way to go Milwaukee.,5
6/8/2018,2706-20,"M18 FUEL™ with ONE-KEY™ 1/2"" Hammer Drill/Driver (Tool Only)",Great product work amazing. We bought a large amount to company use. Using this drill to drill holes in power poles,5
6/8/2018,6955-20,"12"" Dual-Bevel Sliding Compound Miter Saw","Just purchased saw, and miss the hold down clamp I am used to hold a stop for cutting length and find the unit has a kick when stopping, the miter stand that comes with the unit needs wheels to make transporting easier",4
6/8/2018,2771-20,M18™ Transfer Pump,"I use this pump to replace conveyor gearbox pills,  it's clean fast and reliable",5
6/8/2018,2740-20,M18 FUEL™ 18ga Brad Nailer (Tool Only),This nailer if you only have to nail at a 90 degree angle.  If you have plans of nailing anything other than that your going to need to buy some nail punches,2
6/9/2018,2550-20,M12™ Rivet Tool (Tool Only),"I used this gun to install over a 1000 rivets on a roofing job.  Great tool, nice not to have to drag lines around.",5
6/9/2018,48-32-4401,SHOCKWAVE™ Driver Bit Set 29PC,"Commercial construction, home repair, automotive repair and hobbies. Only problem is the latch on the compartment in the lid. Breaks easily.",5
6/9/2018,2760-20,"M18 FUEL™ SURGE™ 1/4"" Hex Hydraulic Driver (Tool Only)",This is an excellent impact. Has all the power it needs and half the noise.,5
6/10/2018,2354-20,M18™ Search Light,Every day looking for leaks faults will light up down pipes in full sun at range so we can point out issues and my boss likes it too,4
6/10/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),"Would purchase again, and would recommend to anyone. No faults, only draw back is rapid charging battery doesn't last as long the normal charger.",5
6/10/2018,2740-21CT,M18 FUEL™ 18ga Brad Nailer Kit,"I recently wrote a review on this failed product and somehow it was removed by the site administrator. This tool claimed to be powerful enough to drive an 18 gage brad nail into solid oak. This is one of the most embellished statement I have seen in a long time. I tried driving 1 5/8” brads into Brazilian ply and whine pine, this was met with consummate failure each time. The heads of the nail sits proud each time or the unit jammed. I took it back to the dealer immediate (next day) where I got a full refund. It is clear that the R&D department did not do their homework on this particular tool.",1
6/11/2018,2680-20,"M18™ Cordless 4-1/2"" Cut-off / Grinder (Tool Only)","This is a great tool. I have many Milwaukee M18 tools, and am very happy with them. BUT... keep your receipt as the serial number WILL rub away as they put the label right where the hand grip is, so like me, now it needs service, I can’t read the serial number, and the receipt was lost along time ago, so now stuck with a tool I can’t get fixed",3
6/11/2018,2354-20,M18™ Search Light,"Looks like this will be my go to light. Quality item I expected from Milwaukee,
My only disappointment out of the box was no strap. It’s a little heavy with the battery, it looks like their is a place for one. Oh well other then that completely satisfied.",4
6/11/2018,2709-22,"M18 FUEL™ SUPER HAWG™ 1/2"" Right Angle Drill Kit","I use this hole hog every day, drilling 5/8-3 5/8” holes somewhere usually between 25-200 holes depending on the day. (Used for residential water/DWV rough in’s) so far it’s been my favorite tool purchase in a long time,  the clutch is definitely awesome no more worrying about breaking a wrist or being thrown off a ladder, good in tight spaces as well so definitely safer to use. Batteries hold up surprisingly well, as advertised, but still amazing to be able to get through as many holes even 3” waste holes as you can on one charge. Also charger is super quick have yet to have a battery die before another is charged. High gear is faster than any corded hole hawg I’ve ever owned before, (all Milwaukee as well) Very efficient for water lines. I love the tool. The only issue at all is that the rubber tore slightly on a nail the first time I used it however this in no way affects performance of the tool, just wish maybe they had that a little tighter or something",5
6/12/2018,48-22-8530,"30"" Steel Chest and Cabinet Combo",well thought out design.  lots of room and advances tool chest features for a modest price.  LOVE IT,5
6/13/2018,2520-21XC,M12 FUEL™ HACKZALL® Recip Saw Kit,I bought this product to actually tear down big cardboard boxes and cut up the large palm branches that constantly fall in my yard.  It has been perfect for both - cuts through them like butter and has the ultimate precision.  At some point I'm sure Ill move on to metal and wood and it will work good there as well.,5
6/13/2018,2475-21XC,M12™ Compact Inflator kit,The Milwaukee inflator works as advertised to inflate tires. My only issue (and it is not a big deal) is that the screen shows 1.0 PSI when it is not attached. I don't know if there is a way to calibrate it so that it shows 0 PSI.,5
6/13/2018,2426-20,M12™ Cordless Multi-Tool (Tool Only),"Milwaukee tool has stayed true to its roots. By making the best oscillating tools, the Milwaukee 2426-20 M12 Cordless Multi Tool is an impressive addition to the M12 line. I discuss both positive and negative side of the tool. Milwaukee’s tool is very solid. I find this tool to be very smooth. This tool is exactly what I expected. Accepts almost all brand attachments with the included adapter. I use this tool daily under difficult conditions. This tool is well balanced and comfortable. It holds up well and has never let me down. Without this tool, home carpentry isn’t possible. It can get into tight spaces. Contractors will like the power and runtime of this tool. This tool is an amazing problem solver. Milwaukee’s 5-year tool warranty is better than any other tools. So you can choose this handy tool.",5
6/13/2018,6391-21,"7-1/4"" Left Blade Circular Saw with Case","38 years in the construction trades and I can positively say that this saw is my all time favorite. I bought one when they first came out and it's still going strong. Carpentry, woodworking, cabinetry and remodeling it does it all with a great line of sight and ample cutting power. Nice balance too.",5
6/14/2018,2258-21,M12™ 102 X 77 Infrared Camera Kit,I own quite a few for my local business and they are sturdier than the cheap 9 volt battery version they have.,5
6/14/2018,0850-20,M12™ Compact Vacuum (Bare Tool),I have nothing but Milwaukee cordless tools but I wouldn't recommend this vacuum if you are expecting the quality and workmanship/ performance usually associated with Milwaukee Tools,3
6/14/2018,2725-20,M18 FUEL™ String Trimmer (Tool Only),"My boyfriend and I bought this and the leaf blower last weekend. Today was the first we have really got to use it. We have a pretty large yard, so while he mows I’m usually doing the trimming. I used to fight with our gas one for ever before it would actually work. I just slapped the battery in this and away I went. The power this thing has even in the slower mode absolutely amazed me! Trimmed for about 45 minutes and only used 2 battery bars. I think I might use it more than him! ;) I would totally recommend this to anyone! I am a firm believer in you get what you pay for. And we certainly got more than we were looking for in this tool!",5
6/14/2018,48-22-8250,Jobsite Cooler,"I wish the cooler had a ""Plastic Hardliner to Help Keep it's Shape and to Help keep the Mesh storage Lid Compartment Dry and from getting wet from the Melting Ice(Water)...",3
6/14/2018,48-22-8250,Jobsite Cooler,Firdt time using the cooler it held ice for maybe 5 hours. After the ice melted it leaked through the liner all over my bsckseat.,1
